id,Username,Email,Ticket Title,Description,Category,Subcategory,Priority,Status,Assigned_to,Submission Time,Feedback Smiley,Feedback Text,Tags
11,user3,esadartist@gmail.com,Money transfer,"I am writing to report an issue with a recent money transfer I initiated through your service. The transfer has not been completed as expected, causing significant inconvenience and concern. I contacted customer support immediately, but I have not received a resolution. I request an immediate investigation into this issue and a prompt completion of the transfer or a refund if the transfer cannot be completed. Please provide a detailed response and a timeline for resolution. Your prompt attention to this matter is crucial. Thank you.",Money Transfers and Financial Services,"Money transfer, virtual currency, or money service",Low,User Feedback,Esada,2024-06-30 00:02:56,,,"money, account, transfer"
12,user3,esadartist@gmail.com,Unauthorized transactions on my account,"I am writing to complain about unauthorized transactions on my account. Recently, I noticed several transactions that I did not authorize, causing significant distress. I immediately contacted customer service and temporarily froze my account, but the issue remains unresolved and the amounts have not been refunded. Please investigate and refund these transactions immediately. I also request assurance that my account will be secured against future unauthorized access. Your prompt attention to this matter is crucial. Thank you for your cooperation.",Bank Account or Service,Bank account or service,High,In Progress,Seymour Cray,2024-06-30 00:02:56,,,"transactions, account, unauthorized"
13,user4,esadartist@gmail.com,Unauthorized transactions on my account,"I am writing to complain about unauthorized transactions on my account. Recently, I noticed several transactions that I did not authorize, causing significant distress. I immediately contacted customer service and temporarily froze my account, but the issue remains unresolved and the amounts have not been refunded. Please investigate and refund these transactions immediately. I also request assurance that my account will be secured against future unauthorized access. Your prompt attention to this matter is crucial. Thank you for your cooperation.",Bank Account or Service,Bank account or service,High,Closed,Seymour Cray,2024-06-30 00:02:56,😀,Realy nice,"transactions, account, unauthorized"
14,user4,esadartist@gmail.com,Money transfer,"I am writing to report an issue with a recent money transfer I initiated through your service. The transfer has not been completed as expected, causing significant inconvenience and concern. I contacted customer support immediately, but I have not received a resolution. I request an immediate investigation into this issue and a prompt completion of the transfer or a refund if the transfer cannot be completed. Please provide a detailed response and a timeline for resolution. Your prompt attention to this matter is crucial. Thank you.",Money Transfers and Financial Services,"Money transfer, virtual currency, or money service",Low,User Feedback,Esada,2024-06-30 00:02:56,,,"money, account, transfer"
15,user4,esadartist@gmail.com,Unauthorized transactions on my account,"I am writing to complain about unauthorized transactions on my account. Recently, I noticed several transactions that I did not authorize, causing significant distress. I immediately contacted customer service and temporarily froze my account, but the issue remains unresolved and the amounts have not been refunded. Please investigate and refund these transactions immediately. I also request assurance that my account will be secured against future unauthorized access. Your prompt attention to this matter is crucial. Thank you for your cooperation.",Bank Account or Service,Bank account or service,High,In Progress,Seymour Cray,2024-06-30 00:02:56,,,"transactions, account, unauthorized"
16,user5,esadartist@gmail.com,Unauthorized transactions on my account,"I am writing to complain about unauthorized transactions on my account. Recently, I noticed several transactions that I did not authorize, causing significant distress. I immediately contacted customer service and temporarily froze my account, but the issue remains unresolved and the amounts have not been refunded. Please investigate and refund these transactions immediately. I also request assurance that my account will be secured against future unauthorized access. Your prompt attention to this matter is crucial. Thank you for your cooperation.",Bank Account or Service,Bank account or service,High,Closed,Seymour Cray,2024-06-30 00:02:56,😀,Realy nice,"transactions, account, unauthorized"
17,user5,esadartist@gmail.com,Money transfer,"I am writing to report an issue with a recent money transfer I initiated through your service. The transfer has not been completed as expected, causing significant inconvenience and concern. I contacted customer support immediately, but I have not received a resolution. I request an immediate investigation into this issue and a prompt completion of the transfer or a refund if the transfer cannot be completed. Please provide a detailed response and a timeline for resolution. Your prompt attention to this matter is crucial. Thank you.",Money Transfers and Financial Services,"Money transfer, virtual currency, or money service",Low,User Feedback,Esada,2024-06-30 00:02:56,,,"money, account, transfer"
18,user5,esadartist@gmail.com,Unauthorized transactions on my account,"I am writing to complain about unauthorized transactions on my account. Recently, I noticed several transactions that I did not authorize, causing significant distress. I immediately contacted customer service and temporarily froze my account, but the issue remains unresolved and the amounts have not been refunded. Please investigate and refund these transactions immediately. I also request assurance that my account will be secured against future unauthorized access. Your prompt attention to this matter is crucial. Thank you for your cooperation.",Bank Account or Service,Bank account or service,High,In Progress,Seymour Cray,2024-06-30 00:02:56,,,"transactions, account, unauthorized"
19,user6,esadartist@gmail.com,Unauthorized transactions on my account,"I am writing to complain about unauthorized transactions on my account. Recently, I noticed several transactions that I did not authorize, causing significant distress. I immediately contacted customer service and temporarily froze my account, but the issue remains unresolved and the amounts have not been refunded. Please investigate and refund these transactions immediately. I also request assurance that my account will be secured against future unauthorized access. Your prompt attention to this matter is crucial. Thank you for your cooperation.",Bank Account or Service,Bank account or service,High,Closed,Seymour Cray,2024-06-30 00:02:56,😀,Realy nice,"transactions, account, unauthorized"
20,user6,esadartist@gmail.com,Money transfer,"I am writing to report an issue with a recent money transfer I initiated through your service. The transfer has not been completed as expected, causing significant inconvenience and concern. I contacted customer support immediately, but I have not received a resolution. I request an immediate investigation into this issue and a prompt completion of the transfer or a refund if the transfer cannot be completed. Please provide a detailed response and a timeline for resolution. Your prompt attention to this matter is crucial. Thank you.",Money Transfers and Financial Services,"Money transfer, virtual currency, or money service",Low,User Feedback,Esada,2024-06-30 00:02:56,,,"money, account, transfer"
21,user6,esadartist@gmail.com,Unauthorized transactions on my account,"I am writing to complain about unauthorized transactions on my account. Recently, I noticed several transactions that I did not authorize, causing significant distress. I immediately contacted customer service and temporarily froze my account, but the issue remains unresolved and the amounts have not been refunded. Please investigate and refund these transactions immediately. I also request assurance that my account will be secured against future unauthorized access. Your prompt attention to this matter is crucial. Thank you for your cooperation.",Bank Account or Service,Bank account or service,High,In Progress,Seymour Cray,2024-06-30 00:02:56,,,"transactions, account, unauthorized"
22,user7,esadartist@gmail.com,Unauthorized transactions on my account,"I am writing to complain about unauthorized transactions on my account. Recently, I noticed several transactions that I did not authorize, causing significant distress. I immediately contacted customer service and temporarily froze my account, but the issue remains unresolved and the amounts have not been refunded. Please investigate and refund these transactions immediately. I also request assurance that my account will be secured against future unauthorized access. Your prompt attention to this matter is crucial. Thank you for your cooperation.",Bank Account or Service,Bank account or service,High,Closed,Seymour Cray,2024-06-30 00:02:56,😀,Realy nice,"transactions, account, unauthorized"
23,user7,esadartist@gmail.com,Money transfer,"I am writing to report an issue with a recent money transfer I initiated through your service. The transfer has not been completed as expected, causing significant inconvenience and concern. I contacted customer support immediately, but I have not received a resolution. I request an immediate investigation into this issue and a prompt completion of the transfer or a refund if the transfer cannot be completed. Please provide a detailed response and a timeline for resolution. Your prompt attention to this matter is crucial. Thank you.",Money Transfers and Financial Services,"Money transfer, virtual currency, or money service",Low,User Feedback,Esada,2024-06-30 00:02:56,,,"money, account, transfer"
24,user7,esadartist@gmail.com,Unauthorized transactions on my account,"I am writing to complain about unauthorized transactions on my account. Recently, I noticed several transactions that I did not authorize, causing significant distress. I immediately contacted customer service and temporarily froze my account, but the issue remains unresolved and the amounts have not been refunded. Please investigate and refund these transactions immediately. I also request assurance that my account will be secured against future unauthorized access. Your prompt attention to this matter is crucial. Thank you for your cooperation.",Bank Account or Service,Bank account or service,High,In Progress,Seymour Cray,2024-06-30 00:02:56,,,"transactions, account, unauthorized"
25,user8,esadartist@gmail.com,Unauthorized transactions on my account,"I am writing to complain about unauthorized transactions on my account. Recently, I noticed several transactions that I did not authorize, causing significant distress. I immediately contacted customer service and temporarily froze my account, but the issue remains unresolved and the amounts have not been refunded. Please investigate and refund these transactions immediately. I also request assurance that my account will be secured against future unauthorized access. Your prompt attention to this matter is crucial. Thank you for your cooperation.",Bank Account or Service,Bank account or service,High,Closed,Seymour Cray,2024-06-30 00:02:56,😀,Realy nice,"transactions, account, unauthorized"
26,user8,esadartist@gmail.com,Money transfer,"I am writing to report an issue with a recent money transfer I initiated through your service. The transfer has not been completed as expected, causing significant inconvenience and concern. I contacted customer support immediately, but I have not received a resolution. I request an immediate investigation into this issue and a prompt completion of the transfer or a refund if the transfer cannot be completed. Please provide a detailed response and a timeline for resolution. Your prompt attention to this matter is crucial. Thank you.",Money Transfers and Financial Services,"Money transfer, virtual currency, or money service",Low,User Feedback,Esada,2024-06-30 00:02:56,,,"money, account, transfer"
27,user8,esadartist@gmail.com,Unauthorized transactions on my account,"I am writing to complain about unauthorized transactions on my account. Recently, I noticed several transactions that I did not authorize, causing significant distress. I immediately contacted customer service and temporarily froze my account, but the issue remains unresolved and the amounts have not been refunded. Please investigate and refund these transactions immediately. I also request assurance that my account will be secured against future unauthorized access. Your prompt attention to this matter is crucial. Thank you for your cooperation.",Bank Account or Service,Bank account or service,High,In Progress,Seymour Cray,2024-06-30 00:02:56,,,"transactions, account, unauthorized"
28,user9,esadartist@gmail.com,Unauthorized transactions on my account,"I am writing to complain about unauthorized transactions on my account. Recently, I noticed several transactions that I did not authorize, causing significant distress. I immediately contacted customer service and temporarily froze my account, but the issue remains unresolved and the amounts have not been refunded. Please investigate and refund these transactions immediately. I also request assurance that my account will be secured against future unauthorized access. Your prompt attention to this matter is crucial. Thank you for your cooperation.",Bank Account or Service,Bank account or service,High,Closed,Seymour Cray,2024-06-30 00:02:56,😀,Realy nice,"transactions, account, unauthorized"
29,user9,esadartist@gmail.com,Money transfer,"I am writing to report an issue with a recent money transfer I initiated through your service. The transfer has not been completed as expected, causing significant inconvenience and concern. I contacted customer support immediately, but I have not received a resolution. I request an immediate investigation into this issue and a prompt completion of the transfer or a refund if the transfer cannot be completed. Please provide a detailed response and a timeline for resolution. Your prompt attention to this matter is crucial. Thank you.",Money Transfers and Financial Services,"Money transfer, virtual currency, or money service",Low,User Feedback,Esada,2024-06-30 00:02:56,,,"money, account, transfer"
30,user9,esadartist@gmail.com,Unauthorized transactions on my account,"I am writing to complain about unauthorized transactions on my account. Recently, I noticed several transactions that I did not authorize, causing significant distress. I immediately contacted customer service and temporarily froze my account, but the issue remains unresolved and the amounts have not been refunded. Please investigate and refund these transactions immediately. I also request assurance that my account will be secured against future unauthorized access. Your prompt attention to this matter is crucial. Thank you for your cooperation.",Bank Account or Service,Bank account or service,High,In Progress,Seymour Cray,2024-06-30 00:02:56,,,"transactions, account, unauthorized"
31,user11,esadartist@gmail.com,Unauthorized transactions on my account,"I am writing to complain about unauthorized transactions on my account. Recently, I noticed several transactions that I did not authorize, causing significant distress. I immediately contacted customer service and temporarily froze my account, but the issue remains unresolved and the amounts have not been refunded. Please investigate and refund these transactions immediately. I also request assurance that my account will be secured against future unauthorized access. Your prompt attention to this matter is crucial. Thank you for your cooperation.",Bank Account or Service,Bank account or service,High,Closed,Seymour Cray,2024-06-30 00:02:56,😀,Realy nice,"transactions, account, unauthorized"
32,user11,esadartist@gmail.com,Money transfer,"I am writing to report an issue with a recent money transfer I initiated through your service. The transfer has not been completed as expected, causing significant inconvenience and concern. I contacted customer support immediately, but I have not received a resolution. I request an immediate investigation into this issue and a prompt completion of the transfer or a refund if the transfer cannot be completed. Please provide a detailed response and a timeline for resolution. Your prompt attention to this matter is crucial. Thank you.",Money Transfers and Financial Services,"Money transfer, virtual currency, or money service",Low,User Feedback,Esada,2024-06-30 00:02:56,,,"money, account, transfer"
33,user11,esadartist@gmail.com,Unauthorized transactions on my account,"I am writing to complain about unauthorized transactions on my account. Recently, I noticed several transactions that I did not authorize, causing significant distress. I immediately contacted customer service and temporarily froze my account, but the issue remains unresolved and the amounts have not been refunded. Please investigate and refund these transactions immediately. I also request assurance that my account will be secured against future unauthorized access. Your prompt attention to this matter is crucial. Thank you for your cooperation.",Bank Account or Service,Bank account or service,High,In Progress,Seymour Cray,2024-06-30 00:02:56,,,"transactions, account, unauthorized"
34,user12,esadartist@gmail.com,Unauthorized transactions on my account,"I am writing to complain about unauthorized transactions on my account. Recently, I noticed several transactions that I did not authorize, causing significant distress. I immediately contacted customer service and temporarily froze my account, but the issue remains unresolved and the amounts have not been refunded. Please investigate and refund these transactions immediately. I also request assurance that my account will be secured against future unauthorized access. Your prompt attention to this matter is crucial. Thank you for your cooperation.",Bank Account or Service,Bank account or service,High,Closed,Seymour Cray,2024-06-30 00:02:56,😀,Realy nice,"transactions, account, unauthorized"
35,user12,esadartist@gmail.com,Money transfer,"I am writing to report an issue with a recent money transfer I initiated through your service. The transfer has not been completed as expected, causing significant inconvenience and concern. I contacted customer support immediately, but I have not received a resolution. I request an immediate investigation into this issue and a prompt completion of the transfer or a refund if the transfer cannot be completed. Please provide a detailed response and a timeline for resolution. Your prompt attention to this matter is crucial. Thank you.",Money Transfers and Financial Services,"Money transfer, virtual currency, or money service",Low,User Feedback,Esada,2024-06-30 00:02:56,,,"money, account, transfer"
36,user12,esadartist@gmail.com,Unauthorized transactions on my account,"I am writing to complain about unauthorized transactions on my account. Recently, I noticed several transactions that I did not authorize, causing significant distress. I immediately contacted customer service and temporarily froze my account, but the issue remains unresolved and the amounts have not been refunded. Please investigate and refund these transactions immediately. I also request assurance that my account will be secured against future unauthorized access. Your prompt attention to this matter is crucial. Thank you for your cooperation.",Bank Account or Service,Bank account or service,High,In Progress,Seymour Cray,2024-06-30 00:02:56,,,"transactions, account, unauthorized"
37,user13,esadartist@gmail.com,Unauthorized transactions on my account,"I am writing to complain about unauthorized transactions on my account. Recently, I noticed several transactions that I did not authorize, causing significant distress. I immediately contacted customer service and temporarily froze my account, but the issue remains unresolved and the amounts have not been refunded. Please investigate and refund these transactions immediately. I also request assurance that my account will be secured against future unauthorized access. Your prompt attention to this matter is crucial. Thank you for your cooperation.",Bank Account or Service,Bank account or service,High,Closed,Seymour Cray,2024-06-30 00:02:56,😀,Realy nice,"transactions, account, unauthorized"
38,user13,esadartist@gmail.com,Money transfer,"I am writing to report an issue with a recent money transfer I initiated through your service. The transfer has not been completed as expected, causing significant inconvenience and concern. I contacted customer support immediately, but I have not received a resolution. I request an immediate investigation into this issue and a prompt completion of the transfer or a refund if the transfer cannot be completed. Please provide a detailed response and a timeline for resolution. Your prompt attention to this matter is crucial. Thank you.",Money Transfers and Financial Services,"Money transfer, virtual currency, or money service",Low,User Feedback,Esada,2024-06-30 00:02:56,,,"money, account, transfer"
39,user13,esadartist@gmail.com,Unauthorized transactions on my account,"I am writing to complain about unauthorized transactions on my account. Recently, I noticed several transactions that I did not authorize, causing significant distress. I immediately contacted customer service and temporarily froze my account, but the issue remains unresolved and the amounts have not been refunded. Please investigate and refund these transactions immediately. I also request assurance that my account will be secured against future unauthorized access. Your prompt attention to this matter is crucial. Thank you for your cooperation.",Bank Account or Service,Bank account or service,High,In Progress,Seymour Cray,2024-06-30 00:02:56,,,"transactions, account, unauthorized"
40,user14,esadartist@gmail.com,Unauthorized transactions on my account,"I am writing to complain about unauthorized transactions on my account. Recently, I noticed several transactions that I did not authorize, causing significant distress. I immediately contacted customer service and temporarily froze my account, but the issue remains unresolved and the amounts have not been refunded. Please investigate and refund these transactions immediately. I also request assurance that my account will be secured against future unauthorized access. Your prompt attention to this matter is crucial. Thank you for your cooperation.",Bank Account or Service,Bank account or service,High,Closed,Seymour Cray,2024-06-30 00:02:56,😀,Realy nice,"transactions, account, unauthorized"
41,user14,esadartist@gmail.com,Money transfer,"I am writing to report an issue with a recent money transfer I initiated through your service. The transfer has not been completed as expected, causing significant inconvenience and concern. I contacted customer support immediately, but I have not received a resolution. I request an immediate investigation into this issue and a prompt completion of the transfer or a refund if the transfer cannot be completed. Please provide a detailed response and a timeline for resolution. Your prompt attention to this matter is crucial. Thank you.",Money Transfers and Financial Services,"Money transfer, virtual currency, or money service",Low,User Feedback,Esada,2024-06-30 00:02:56,,,"money, account, transfer"
42,user14,esadartist@gmail.com,Unauthorized transactions on my account,"I am writing to complain about unauthorized transactions on my account. Recently, I noticed several transactions that I did not authorize, causing significant distress. I immediately contacted customer service and temporarily froze my account, but the issue remains unresolved and the amounts have not been refunded. Please investigate and refund these transactions immediately. I also request assurance that my account will be secured against future unauthorized access. Your prompt attention to this matter is crucial. Thank you for your cooperation.",Bank Account or Service,Bank account or service,High,In Progress,Seymour Cray,2024-06-30 00:02:56,,,"transactions, account, unauthorized"
43,user15,esadartist@gmail.com,Unauthorized transactions on my account,"I am writing to complain about unauthorized transactions on my account. Recently, I noticed several transactions that I did not authorize, causing significant distress. I immediately contacted customer service and temporarily froze my account, but the issue remains unresolved and the amounts have not been refunded. Please investigate and refund these transactions immediately. I also request assurance that my account will be secured against future unauthorized access. Your prompt attention to this matter is crucial. Thank you for your cooperation.",Bank Account or Service,Bank account or service,High,Closed,Seymour Cray,2024-06-30 00:02:56,😀,Realy nice,"transactions, account, unauthorized"
44,user15,esadartist@gmail.com,Money transfer,"I am writing to report an issue with a recent money transfer I initiated through your service. The transfer has not been completed as expected, causing significant inconvenience and concern. I contacted customer support immediately, but I have not received a resolution. I request an immediate investigation into this issue and a prompt completion of the transfer or a refund if the transfer cannot be completed. Please provide a detailed response and a timeline for resolution. Your prompt attention to this matter is crucial. Thank you.",Money Transfers and Financial Services,"Money transfer, virtual currency, or money service",Low,User Feedback,Esada,2024-06-30 00:02:56,,,"money, account, transfer"
45,user15,esadartist@gmail.com,Unauthorized transactions on my account,"I am writing to complain about unauthorized transactions on my account. Recently, I noticed several transactions that I did not authorize, causing significant distress. I immediately contacted customer service and temporarily froze my account, but the issue remains unresolved and the amounts have not been refunded. Please investigate and refund these transactions immediately. I also request assurance that my account will be secured against future unauthorized access. Your prompt attention to this matter is crucial. Thank you for your cooperation.",Bank Account or Service,Bank account or service,High,In Progress,Seymour Cray,2024-06-30 00:02:56,,,"transactions, account, unauthorized"
46,user16,esadartist@gmail.com,Unauthorized transactions on my account,"I am writing to complain about unauthorized transactions on my account. Recently, I noticed several transactions that I did not authorize, causing significant distress. I immediately contacted customer service and temporarily froze my account, but the issue remains unresolved and the amounts have not been refunded. Please investigate and refund these transactions immediately. I also request assurance that my account will be secured against future unauthorized access. Your prompt attention to this matter is crucial. Thank you for your cooperation.",Bank Account or Service,Bank account or service,High,Closed,Seymour Cray,2024-06-30 00:02:56,😀,Realy nice,"transactions, account, unauthorized"
47,user16,esadartist@gmail.com,Money transfer,"I am writing to report an issue with a recent money transfer I initiated through your service. The transfer has not been completed as expected, causing significant inconvenience and concern. I contacted customer support immediately, but I have not received a resolution. I request an immediate investigation into this issue and a prompt completion of the transfer or a refund if the transfer cannot be completed. Please provide a detailed response and a timeline for resolution. Your prompt attention to this matter is crucial. Thank you.",Money Transfers and Financial Services,"Money transfer, virtual currency, or money service",Low,User Feedback,Esada,2024-06-30 00:02:56,,,"money, account, transfer"
48,user16,esadartist@gmail.com,Unauthorized transactions on my account,"I am writing to complain about unauthorized transactions on my account. Recently, I noticed several transactions that I did not authorize, causing significant distress. I immediately contacted customer service and temporarily froze my account, but the issue remains unresolved and the amounts have not been refunded. Please investigate and refund these transactions immediately. I also request assurance that my account will be secured against future unauthorized access. Your prompt attention to this matter is crucial. Thank you for your cooperation.",Bank Account or Service,Bank account or service,High,In Progress,Seymour Cray,2024-06-30 00:02:56,,,"transactions, account, unauthorized"
49,esada,esadartist@gmail.com,Report unauthorized fees,"I am writing to report unauthorized fees that have appeared on my checking account. These fees were not communicated to me and have caused significant inconvenience. I contacted customer service immediately, but the issue remains unresolved. I request an investigation and a refund of these fees. Please provide a detailed response and a timeline for resolution. Your prompt attention to this matter is crucial. Thank you.",Bank Account or Service,Checking or savings account,High,Submitted,,2024-06-30 00:02:56,,,"report, fees, account"
50,esada,esadartist@gmail.com,Delay in processing a deposit,"I am writing to complain about a delay in processing a deposit to my savings account. The deposit was made [number] days ago, but it has not yet been credited. I contacted customer service immediately, but I have not received a satisfactory resolution. I request an immediate investigation and crediting of the deposit. Please provide a detailed response and a timeline for resolution. Your prompt attention to this matter is crucial. Thank you.",Bank Account or Service,Checking or savings account,Low,Submitted,,2024-06-30 00:02:56,,,"delay, account, deposit"
51,esada,esadartist@gmail.com,Issues with accessing my checking account online,"I am writing to report ongoing issues with accessing my checking account online. This problem has caused significant inconvenience, as I rely on online banking for daily transactions. I contacted customer service immediately, but the issue remains unresolved. I request an immediate investigation and resolution of the access issues. Please provide a detailed response and a timeline for resolution. Your prompt attention to this matter is crucial. Thank you.",Bank Account or Service,Checking or savings account,Medium,In Progress,Agent1,2024-06-30 00:02:56,,,"online, account, issue"
52,esada,esadartist@gmail.com,Incorrect balance on my savings account,"I am writing to report an incorrect balance on my savings account. The balance displayed does not match my records and has caused significant concern. I contacted customer service immediately, but the issue remains unresolved. I request an immediate investigation to correct the balance and ensure the accuracy of my account. Please provide a detailed response and a timeline for resolution. Your prompt attention to this matter is crucial. Thank you.",Bank Account or Service,Checking or savings account,High,Closed,Agent1,2024-06-30 00:02:56,😀,Realy nice,"report, account, balance"
53,esada,esadartist@gmail.com,Issues with accessing my checking account online,"I am writing to report ongoing issues with accessing my checking account online. This problem has caused significant inconvenience, as I rely on online banking for daily transactions. I contacted customer service immediately, but the issue remains unresolved. I request an immediate investigation and resolution of the access issues. Please provide a detailed response and a timeline for resolution. Your prompt attention to this matter is crucial. Thank you.",Bank Account or Service,Checking or savings account,Medium,In Progress,Agent2,2024-06-30 00:02:56,,,"online, account, issue"
54,esada,esadartist@gmail.com,Incorrect balance on my savings account,"I am writing to report an incorrect balance on my savings account. The balance displayed does not match my records and has caused significant concern. I contacted customer service immediately, but the issue remains unresolved. I request an immediate investigation to correct the balance and ensure the accuracy of my account. Please provide a detailed response and a timeline for resolution. Your prompt attention to this matter is crucial. Thank you.",Bank Account or Service,Checking or savings account,High,Closed,Agent2,2024-06-30 00:02:56,😀,Realy nice,"report, account, balance"
55,esada,esadartist@gmail.com,Issues with accessing my checking account online,"I am writing to report ongoing issues with accessing my checking account online. This problem has caused significant inconvenience, as I rely on online banking for daily transactions. I contacted customer service immediately, but the issue remains unresolved. I request an immediate investigation and resolution of the access issues. Please provide a detailed response and a timeline for resolution. Your prompt attention to this matter is crucial. Thank you.",Bank Account or Service,Checking or savings account,Medium,In Progress,Agent3,2024-06-30 00:02:56,,,"online, account, issue"
56,esada,esadartist@gmail.com,Incorrect balance on my savings account,"I am writing to report an incorrect balance on my savings account. The balance displayed does not match my records and has caused significant concern. I contacted customer service immediately, but the issue remains unresolved. I request an immediate investigation to correct the balance and ensure the accuracy of my account. Please provide a detailed response and a timeline for resolution. Your prompt attention to this matter is crucial. Thank you.",Bank Account or Service,Checking or savings account,High,Closed,Agent3,2024-06-30 00:02:56,😀,Realy nice,"report, account, balance"
57,esada,esadartist@gmail.com,Issues with accessing my checking account online,"I am writing to report ongoing issues with accessing my checking account online. This problem has caused significant inconvenience, as I rely on online banking for daily transactions. I contacted customer service immediately, but the issue remains unresolved. I request an immediate investigation and resolution of the access issues. Please provide a detailed response and a timeline for resolution. Your prompt attention to this matter is crucial. Thank you.",Bank Account or Service,Checking or savings account,Medium,In Progress,Agent4,2024-06-30 00:02:56,,,"online, account, issue"
